Name,Latitude,Temperature,WindSpeed,Cloudiness,Humidity
Lozuvatka,48.06,266.15,7,90,79
Pontaumur,45.87,273.15,1,90,96
Tateyama,34.98,278.15,4.6,75,52
Bady Bassitt,-20.92,301.15,2.1,40,51
Marietta-Alderwood,48.79,283.44,2.6,1,61
Berehove,48.21,263.15,1.5,88,92
Montagnac-d'Auberoche,45.18,278.15,3.6,90,86
Niandou,31.43,277.15,3,90,93
Staraya Ruza,55.65,262.15,3,0,85
Metjendorf,53.19,280.15,4.6,75,87
Norderstapel,54.35,277.44,6.7,75,80
An der Wae,51.2,279.43,3.6,75,93
Escó,42.62,276.16,6.7,40,64
Gottesgabe,53.63,274.735,5.81,12,93
Raon-aux-Bois,48.06,273.18,1,90,100
Saint-Georges-Haute-Ville,45.55,273.85,0.5,90,86
Bilshivtsi,49.18,258.15,1,80,92
Burlata,42.83,276.84,6.7,40,64
Au,47.42,272.15,2.1,75,92
Caldicot,51.59,280.15,4.6,90,93
Visnagar,23.7,286.15,1.5,0,58
Torrent,39.44,274.64,1.5,0,69
Kampungbaru,-8.5,297.15,1,40,100
Shireet,45.73,252.16,3.91,0,76
Corbeyrier,46.35,272.66,0.5,20,63
Fleurieu-sur-Saone,45.86,273.62,1.5,90,69
Beech Forest,-38.63,296.485,1.76,36,56
Intorsura Buzaului,45.68,266.385,1.11,64,96
Zālah Nāw,35.08,269.15,3.1,8,100
San Pablo,37.96,286.12,3.1,75,93
Cuatro Calles (historical),18.49,295.15,1.41,90,73
Valdemorillo de la Sierra,40.04,268.15,2.1,0,85
Ottringham,53.7,280.65,4.1,0,81
Risum-Lindholm,54.77,277.54,4.1,75,86
Sirsaganj,27.05,279.985,1.26,0,82
Torkelstorp,57.44,274.15,2.1,0,69
Asuncion,-25.3,303.15,1,40,66
els Plans de Sió,41.73,274.18,3.1,0,68
Castroserna de Abajo,41.21,265.71,1.96,0,84
Piocera,-18.75,285.76,0.96,76,96
San Vitaliano,40.93,275.8,4.1,0,65
Kinnula,63.33,273.985,5.91,88,68
Oberofflingen,50.07,276.02,5.1,90,100
Focene,41.81,275.82,2.6,0,59
Crach,47.62,280.15,2.6,90,87
Lavenstedt,53.34,279.39,4.6,75,87
Carlino,45.8,272.25,0.5,75,74
Chamadelle,45.1,278.48,3.6,90,86
Ramonchamp,47.89,273.16,1,90,100
Ewa,-8.62,301.21,2.11,64,100
AElvsbyn,65.68,273.66,7.7,0,55
Sed’moy Mikrorayon,55.56,261.75,3,0,85
Gemeente Zijpe,52.8,280.65,4.1,90,100
Casalfiumanese,44.3,271.44,3.1,0,66
Neulliac,48.13,279.82,2.1,90,87
Piątnica,53.22,274.185,5.66,48,92
Prachamtakham,14.06,296.46,0.51,76,89
Valongo,40.62,281.15,2.6,0,82
Dolni Zandov,50.02,272.15,6.2,90,92
Deiningen,48.87,272.45,7.2,92,86
Andekantor,-9.58,299.885,1.31,32,87
Lavassaare,58.51,272.86,6.46,0,86
Urones de Castroponce,42.1,266.15,1.5,0,92
Las Margaritas,16.32,288.96,1.11,0,82
Allueva,40.98,271.73,0.5,8,55
Gatzen,51.12,277.17,5.7,92,86
Protea,-22.57,289.97,2.1,0,82
Cesny-Bois-Halbout,48.99,279.15,3.1,75,100
Etinan,4.84,298.435,3.86,0,89
Cisujen Satu,-6.98,300.76,2.06,56,100
Testorf-Steinfort,53.78,276.15,5.1,75,86
Leetonia,40.88,270.06,1.67,1,55
Heiligenstedtenerkamp,53.9,278.52,5.7,75,75
Margate,-43.03,295.15,8.2,40,40
Niederschonenfeld,48.72,271.89,7.2,92,86
Hachiville,50.11,276.71,3.6,75,100
Calumpang,15.17,297.15,1,90,78
Albiano dIvrea,45.43,267.25,1,0,59
Rocca Grimalda,44.67,279.15,2.6,0,26
Tshaneni,-25.98,298.18,3.1,32,69
Kruchinino,54.77,259.15,2,90,92
Dahme,54.22,276.06,6.61,12,98
Loarre,42.31,275.32,4.6,0,87
San Juan Talpa,13.5,301.6,3.1,40,51
Bistrica ob Sotli,46.06,267.15,1,76,85
La Oroya,-11.52,275.885,0.91,92,100
Vorderhindelang,47.5,271.08,3.6,92,92
Suchiate,14.55,304.15,5.1,40,52
Falcon Heights,42.14,277.55,2.1,1,76
Krajan Karangwage,-6.64,298.71,1.61,68,100
Tieba,33.36,260.935,0.71,88,92
Brykin Bor,54.7,262.335,1.66,68,90
Powiat słupski,54.42,273.26,4.56,8,97
San Francisco Culhuacán,19.33,288.31,1.11,8,39
Hullavington,51.54,280.15,3.6,90,93
Kiangan,16.78,291.235,0.96,36,88
Fuentelcésped,41.6,265.71,1.96,0,84
Saint-Christoly-de-Blaye,45.13,278.62,1.5,90,81
Provincia di Pisa,43.42,271.12,1.5,0,92
Vilar de Maçada,41.32,266.96,0.86,0,73
Casalgrande,44.58,273.15,3.1,0,62
Cortes de Arenoso,40.19,271.2,2.1,0,85
Manzanilla,37.39,278.15,2.6,0,56
Dietramszell,47.85,270.87,10.3,75,86
Valtierrilla,20.53,290.71,1.66,64,67
Villers-la-Ville,50.58,278.9,2.6,75,93
Esino,56.15,259.985,4.91,56,87
Ramonchamp,47.9,273.16,1,90,100
Vagur,61.47,281.01,14.01,36,99
Département des Bouches-du-Rhône,43.5,275.15,6.2,0,64
Alt Bukow,54,276.15,5.1,75,86
Woodlyn,39.87,272.13,6.12,1,36
Jalalabad,27.72,281.01,1.26,0,85
Khallat Hamamah,31.72,281.15,1.5,0,87
Kanodar,24.1,286.2,2.12,0,63
Masally,39.04,273.15,0.31,5,90
Panggungrejo,-8.15,299.185,3.11,44,100
Soini,62.83,273.76,7.46,76,71
San Biagio Platani,37.51,267.96,1.16,12,100
Rabka-Zdroj,49.61,268.61,5.7,75,92
Bettmeralp,46.39,271.99,0.5,40,92
Zamami,26.22,295.57,4.1,75,88
Villa Azurduy,-20.1,289.135,1.01,92,91
Holzerath,49.68,275.34,5.1,90,100
Petrovichi,53.98,259.06,5.36,88,77
Peranampattu,12.93,287.31,1.56,92,86
Kalieung,-7.32,293.085,1.11,8,97
Stony Point,35.86,279.46,1.5,1,39
Goombi,-26.68,300.36,3.71,0,57
Crete,40.63,275.96,2.6,90,75
Ehrl,50,273.15,3.6,75,96
Rollands Plains,-31.28,299.15,4.1,8,57
Rio Tavares,-27.65,300.15,3.1,40,74
Chareil-Cintrat,46.27,273.15,1,90,96
Kadoka,43.83,279.85,3.6,75,65
Newcastle,38.87,286.76,4.1,1,50
Mundoona,-36.17,302.685,1.91,0,60
Streithausen,50.7,280.15,7.7,75,87
Chilca,-12.52,298.15,6.7,75,69
Pertheville-Ners,48.88,279.15,3.1,75,100
Stammham,48.25,270.15,5.1,75,86
Ursberg,48.26,270.91,7.2,92,86
Sarras,45.18,273.66,2.6,75,86
Moina,-41.45,292.735,5.56,8,54
Weibhausen,47.9,270.15,5.1,75,86
Potala Pastillo,17.99,299.15,2.1,75,78
Zacapoaxtla,19.88,289.185,0.76,32,49
Greenwood County,34.17,282.16,1.26,1,33
Shangdu,42.25,256.435,2.16,56,59
Katipunan,7.32,296.15,3.1,90,100
Sao Miguel do Araguaia,-13.28,296.81,1.06,64,93
Shenjing,21.98,290.36,1.61,92,96
Traspinedo,41.59,270.435,3.86,0,84
Cipari,-7.54,300.435,1.71,80,100
Stara Zagora,42.43,274.15,2.1,75,80
Balesti,45.02,260.335,0.91,8,62
Vargem Grande,-3.54,294.735,1.26,80,99
Conguaco,14.04,301.15,2.6,0,45
Samoylova,44.77,281.15,9,92,100
Gara,46.03,271.15,2.6,0,79
Goldach,47.47,271.91,1,75,100
Escalos de Cima,39.93,272.935,3.01,0,80
Liuao,29.09,281.885,10.76,0,100
Yonghe,23.18,289.77,2,75,77
Kalamnuri,19.67,287.01,3.51,0,89
Cardona,14.49,297.15,7.26,20,94
Pozo de Ávila,-29.37,293.985,1.21,36,78
São João da Madeira,40.9,279.01,1.5,0,61
Wolfstein,49.58,274.59,5.1,90,100
Bourne End,51.58,279.95,4.1,90,81
Albertshofen,49.77,272.14,4.6,90,100
Steeg,47.24,268.46,1,75,100
Roa,60.29,268.15,1.06,0,67
Raulhac,44.9,272.7,5.1,75,100
Krupnik,41.85,260.81,0.86,48,77
Bostonia,32.81,289.57,5.1,75,75
Rodenbach,50.15,275.69,4.1,75,93
Xertigny,48.05,273.18,1,90,100
Khlebnikovskiy,55.97,261.72,5,80,85
Pecetto di Valenza,44.99,276.62,2.6,0,26
Krasnodarskiy Kray,45,281.15,5,20,87
Uboldo,45.62,272.75,1.5,0,63
Westgreussen,51.25,275.15,5.7,75,93
Barauna,-5.08,299.46,3.96,36,80
Grandfresnoy,49.37,278.95,2.1,75,93
Ranggen,47.27,270.15,1,75,92
Capriana,46.26,275.15,1.5,20,37
Swieta Katarzyna,51.03,275.15,7.2,75,94
Canyonville,42.93,282.46,2.51,1,66
San Pasqual,33.09,289.61,1.5,1,55
Fgura,35.87,280.15,3.6,40,75
Dreikirchen,50.43,275.86,4.1,75,93
Reisach,49.28,272.31,3.6,90,92
Feebrack,53.15,282.15,6.7,75,93
Mallin,53.53,273.56,5.31,0,90
Prescot,53.43,281.62,6.2,40,81
Haza,41.58,265.71,1.96,0,84
Salvador,-12.97,301.15,3.1,40,74
Muckwar,51.68,277.12,4.1,75,100
Vassar,49.1,266.15,4.1,90,85
District de Sion,46.23,272.15,0.5,20,63
Wadung,-6.81,298.835,1.86,64,100
Cikamarang Satu,-7.32,296.385,1.51,8,93
Leopoldina,-21.53,301.01,5.06,80,53
Boucé,48.65,279.15,3.1,75,100
Perthes,48.48,279.65,3.1,90,93
Beaune-sur-Arzon,45.28,272.15,0.5,90,86
Burjassot,39.51,274.65,1.5,0,69
Sibley,32.54,283.22,2.1,90,55
Horodne,45.89,263.26,1.51,0,85
San Francisco del Rincon,21.02,293.31,3.56,80,41
Walbridge,41.59,270.47,2.1,1,74
Lys-lez-Lannoy,50.67,279.65,4.1,90,93
Grafenrheinfeld,50,271.92,4.6,90,100
Riegenroth,50.05,275.66,5.1,90,100
Pura Raghunāth,25.45,281.685,1.26,0,82
Kolokani,13.57,293.185,4.31,12,34
Cinunjang,-7.42,293.085,1.11,8,97
Ramapuram,15.28,287.96,2.01,0,94
Stroesti,47.62,265.15,2.6,0,92
Temandangjero,-6.86,298.835,1.86,64,100
Yegorlykskaya,46.57,278.51,8.16,92,92
Département de l'Isère,45.17,272.13,2.6,75,66
Traian,43.77,269.15,4.1,20,79
Wathlingen,52.53,279.15,5.7,75,87
Bangun,-7.36,296.71,1.96,48,100
Brockel,53.1,279.34,4.6,75,87
Moratinos,42.36,266.15,1.5,0,92
Ebermannstadt,49.78,272.69,3.6,75,98
Okuta,9.22,294.56,1.86,12,49
Cotillas,38.43,263.76,0.86,0,68
Puilboreau,46.18,279.58,1.96,90,100
Eastwood,32.56,283.25,2.1,90,55
Haskins,41.46,270.8,1.5,1,57
Zahara,36.84,276.68,2.1,20,64
Roma,41.89,275.83,3.6,0,64
Mantenopolis,-18.86,297.71,4.66,64,76
Pak Phayun,7.34,297.15,2.56,75,94
Limburg an der Lahn,50.38,275.66,4.1,75,93
Calubcub Dos,13.75,298.21,4.76,24,83
Novomykolayivka,47.98,273.15,6,90,98
Ferreira do Zêzere,39.72,277.15,1,0,86
Centennial,41.3,271.62,5.7,90,92
Yanrui,28.71,276.96,1.01,64,94
Leisuretowne,39.89,272.24,5.1,1,29
Castelgrande,40.79,270.15,2.6,75,86
Washington County,45.03,272.94,3.1,1,68
